project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,patch,,testcase,,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Cli,29,Cli-29-buggy_ind1,add_test.java,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotesEmptyString,Not Pass,Pass,Pass,Pass,Not fixing the correct part,"Model fixes the issue where the 'length' might expire after the first substring operation in the original code, but it does not address the core semantic problem of the official bug.",Lack of discrimination,,0,0,0,0,1,1,1,1,26,0,3,1,26,0,4,0,24,0,3,1,24,0,4,0
Jsoup,42,Jsoup-42-buggy_ind2,add_test1.java,org.jsoup.nodes.FormElementTest,skipsDisabledRadioButton,Not Pass,Not Pass,Pass,Pass,Partially Fix,"This fix is a partial one. It only addresses the issue where disabled inputs are wrongly submitted, but it does not solve the problem where the default value for checked checkboxes/radio should be ""on"".",Partially Testing,"This test case is designed to test that the disabled radio button is skipped, corresponding to the first fix point; it does not test the issue of the default value ""on"" for checkboxes/radios.",0,0,0,0,0,0,0,0,96,16,15,5,96,16,15,5,101,16,17,5,101,16,17,5
Closure,88,Closure-88-buggy_ind2,add_test1.java,com.google.javascript.jscomp.DeadAssignmentsEliminationTest,testIssue297h,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,6,Mockito-6-buggy_ind1,add_test.java,org.mockitousage.matchers.AnyXMatchersAcceptNullsTest,shouldNotAcceptNullInAnyPrimitiveWrapperMatchersWithVerify,Not Compilable,Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,60,23,0,0,60,23,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,22,Mockito-22-buggy_ind2,add_test1.java,org.mockito.internal.matchers.EqualityTest,shouldHandleNullComparisons,Not Pass,Pass,Pass,Pass,Not fixing the correct part,,Not Testing the buggy branch/condition,,1,0.5,1,0.25,3,0.6,3,0.5,28,2,9,5,29,1,12,2,31,4,10,6,32,3,13,3
Lang,11,Lang-11-buggy_ind1,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_StartGreaterThanEnd,Pass,Not Pass,Pass,Pass,Plausible Patch,,Good,,0,0,0,0,0,0,0,0,20,143,6,44,20,143,6,44,31,205,6,56,31,205,6,56
Lang,5,Lang-5-buggy_ind2,add_test1.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865_AdditionalCase2,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,0,0,0,0,0,0,31,160,3,23,31,160,3,23,112,179,15,25,112,179,15,25
Jsoup,74,Jsoup-74-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,testNormalizesMultipleConsecutiveInvisibles,Not Pass,Not Pass,Pass,Not Pass,,,,,0,0,1,0.2,0,0,1,0.0909,54,16,9,13,54,16,9,13,83,5,21,11,84,4,22,10
Collections,9,Collections-9-buggy_ind1,add_test.java,org.apache.commons.collections.TestExtendedProperties,testCombineWithMultipleProperties,Not Pass,Not Pass,Not Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,18,0,2,0,18,0,2,0,18,0,2,0,18,0,2,0
Math,78,Math-78-buggy_ind1,add_test.java,org.apache.commons.math.ode.events.EventStateTest,backwardCloseEvents,Not Pass,Not Pass,Not Pass,Pass,Not fixing the correct part,"Both fixes encountered the same event detection logic. However, the model fix indirectly adjusted the scanning range, while the official fix directly corrected the opposite-bracket requirement needed by the root finder. They are related but not equivalent.",Good,,8,0.0833,5,0.0538,2,0.0952,1,0.05,157,96,11,21,165,88,13,19,150,93,10,20,155,88,11,19
Jacksondatabind,88,JacksonDatabind-88-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.jsontype.GenericTypeId1735Test,testNestedTypeCheckWithoutGenerics,Not Compilable,Not Pass,Not Compilable,Not Pass,,,,,0,0,Not Compilable,Not Compilable,1,0.3333,Not Compilable,Not Compilable,13,47,1,3,13,47,2,2,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,37,Mockito-37-buggy_ind2,add_test1.java,org.mockito.internal.stubbing.answers.AnswersValidatorTest,shouldValidateThrowsExceptionAnswer,Not Compilable,Pass,Not Compilable,Pass,,,,,5,0.3333,Not Compilable,Not Compilable,1,0.3333,Not Compilable,Not Compilable,10,15,3,3,15,10,4,2,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,37,Compress-37-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parsePaxHeaderWithMultipleBlankLines,Pass,Not Compilable,Not Compilable,Not Compilable,Fixed;Extra Function,Extra handle if branch,Missing import,Import assertNotNull,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,27,Math-27-buggy_ind3,add_test2.java,org.apache.commons.math3.fraction.FractionTest,testPercentageValueWithBothLargeValues,Pass,Pass,Pass,Pass,Fixed,,Overlook Fucntion Behavior,"The test generation error can be categorized as a failure to account for object canonicalization. The model selected large numerator and denominator values, assuming they would exercise the overflow-prone path, but the Fraction constructor reduced them to 3/2. As a result, the test did not preserve the intended boundary condition and became a weak regression test that passes on both the buggy and fixed implementations.",0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0
Math,29,Math-29-buggy_ind1,add_test.java,org.apache.commons.math3.linear.RealVectorAbstractTest,testEbeDivideSameType,Pass,Not Compilable,Not Compilable,Not Compilable,Fixed,,Duplicated Function,Same as existing non-trigger function,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Time,6,Time-6-buggy_ind3,add_test2.java,org.joda.time.chrono.TestGJDate,test_cutoverAtYearZero,Not Pass,Not Pass,Pass,Pass,Wrong boundry;Not fixing the correct part,It only captured one of the surface symptoms: test_cutoverPreZero requires GJChronology.getInstance(...) to throw an IllegalArgumentException for premature cutover.,Partially Testing,,0,0,0,0,0,0,0,0,106,105,11,21,106,105,11,21,18,203,2,32,18,203,2,32
Math,11,Math-11-buggy_ind2,add_test1.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testTrivariateDistribution,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,0,0,0,0,0,0,23,7,1,1,23,7,1,1,24,7,1,1,24,7,1,1
Codec,5,Codec-5-buggy_ind1,add_test.java,org.apache.commons.codec.binary.Base64InputStreamTest,testModulus2EOF,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,24,0.6486,0,0,1,0.1,124,75,16,11,124,75,16,11,176,37,21,10,200,13,22,9
Compress,47,Compress-47-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,canReadEntryDataForImplodingMethod,Not Pass,Pass,Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,23,153,4,40,23,153,4,40,23,168,4,46,23,168,4,46
Math,24,Math-24-buggy_ind2,add_test1.java,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest,testDefaultTerminationReturnsBest,Not Compilable,Pass,Not Compilable,Pass,,,,,17,0.3778,Not Compilable,Not Compilable,9,0.45,Not Compilable,Not Compilable,346,45,40,20,363,28,49,11,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,27,Lang-27-buggy_ind1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberDoubleWithAllZeros,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,28,Mockito-28-buggy_ind1,add_test.java,org.mockitousage.bugs.InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest,mock_should_not_be_injected_into_multiple_compatible_fields,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,3,Mockito-3-buggy_ind1,add_test.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_varargs_with_single_element,Not Pass,Not Pass,Not Pass,Pass,Incorrect assumption about project-specific API behavior,  ,Good,,0,0,0,0,0,0,0,0,62,25,8,6,62,25,8,6,60,25,8,6,60,25,8,6
Closure,113,Closure-113-buggy_ind2,add_test1.java,com.google.javascript.jscomp.VarCheckTest,testNoUndeclaredVarWithUnrecognizedRequireInExpression,Not Pass,Not Pass,Not Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,45,53,3,11,45,53,3,11,49,47,2,10,49,47,2,10
Time,20,Time-20-buggy_ind1,add_test.java,org.joda.time.format.TestDateTimeFormatterBuilder,test_printParseZonePrefixMatch,Pass,Pass,Pass,Pass,Fixed,,Wrong Assumption about the project’s existing data contents.,"There is a valid timezone ID ""America/Argentina/Buenos_Aires"" as a short prefix within ALL_IDS.",0,0,0,0,0,0,0,0,28,4,3,1,28,4,3,1,41,4,8,2,41,4,8,2
Gson,2,Gson-2-buggy_ind2,add_test1.java,com.google.gson.functional.DefaultTypeAdaptersTest,testJsonElementArrayTypeMismatch,Not Pass,Not Pass,Not Pass,Pass,Not fixing the correct part,"It changes the matching condition in the wrong direction. It may avoid some unsafe casts by preventing subtype requests from reaching the buggy return statement, but it does not fix the underlying unsafe adapter cast and breaks the intended type-hierarchy behavior.",Good,,0,0,0,0,0,0,0,0,26,20,1,1,26,20,1,1,28,18,2,0,28,18,2,0
Lang,20,Lang-20-buggy_ind1,add_test.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayChar_MultipleElements,Not Pass,Pass,Pass,Pass,Partially Fix,,Not Testing the buggy branch/condition,,0,0,0,0,0,0,0,0,98,19,20,6,98,19,20,6,102,19,20,6,102,19,20,6
Compress,41,Compress-41-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,testInvalidSignatureAfterValidEntry,Pass,Not Compilable,Not Compilable,Not Compilable,Fixed,,Missing import;Wrong Assumption about the project’s API.,"The testcase fails to compile because it was written against assumptions that do not match this project’s actual API and test setup: it assumes the wrong ZipFile#getEntry return type, assumes assertNotNull is available, and ignores Java’s required byte casting for values above 0x7f.",Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,97,JacksonDatabind-97-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.node.POJONodeTest,testPOJONodeWithSimpleValue,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,98,Math-98-buggy_ind3,add_test2.java,org.apache.commons.math.linear.BigMatrixImplTest,testOperateSingleRowMatrix,Pass,Not Pass,Pass,Pass,Fixed,,Good,,2,0.1429,0,0,1,0.25,0,0,97,14,8,4,99,12,9,3,99,10,10,2,99,10,10,2
Jsoup,46,Jsoup-46-buggy_ind1,add_test.java,org.jsoup.nodes.DocumentTest,testNbspWithUtf8Xhtml,Pass,Pass,Pass,Pass,Plausible Patch,,Lack of discrimination,It does not distinguish between buggy behavior and fixed behavior.,0,0,5,0.0431,0,0,1,0.04,73,111,10,24,73,111,10,24,78,116,11,25,83,111,12,24
Closure,62,Closure-62-buggy_ind1,add_test.java,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorAtExactEndOfLine,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,0,0,0,0,0,0,92,31,8,12,92,31,8,12,119,4,12,8,119,4,12,8
Codec,4,Codec-4-buggy_ind2,add_test1.java,org.apache.commons.codec.binary.Base64Codec13Test,testBase64DefaultConstructorChunking,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0
Chart,5,Chart-5-buggy_ind1,add_test.java,org.jfree.data.xy.junit.XYSeriesTests,testAddOrUpdateWithDuplicatesNotAllowedAndAutoSort,Pass,Pass,Pass,Pass,Plausible Patch,,Not Testing the buggy branch/condition,"This testcase passes on the buggy implementation because it exercises the non-duplicate update path, which was already correct. The bug is in the duplicate-allowed insertion path under auto-sort, but the test explicitly disables duplicate X values.",15,0.375,15,0.375,1,0.25,1,0.25,38,40,6,4,53,25,7,3,44,40,8,4,59,25,9,3
Jacksoncore,26,JacksonCore-26-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.async.AsyncLocationTest,testLocationOffsetsMultipleFeedsLineNumber,Not Pass,Pass,Pass,Pass,Not fixing the correct part,,Not Testing the buggy branch/condition,,0,0,0,0,0,0,0,0,43,19,3,3,43,19,3,3,46,19,3,3,46,19,3,3
Closure,172,Closure-172-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testIssue1024_AdditionalCase1,Pass,Pass,Pass,Pass,Plausible Patch,getSlot() vs getVar(),Not Testing the buggy branch/condition,It assumes that testing a constructor prototype exercises the bug.,0,0,2,0.125,0,0,1,0.0455,34,61,11,31,34,61,11,31,111,16,30,22,113,14,31,21
Jacksondatabind,37,JacksonDatabind-37-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.objectid.Objecid1083Test,testNarrowWithSubclass,Not Compilable,Not Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,21,2,1,1,21,2,1,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,76,Jsoup-76-buggy_ind2,add_test1.java,org.jsoup.parser.HtmlParserTest,textareaSkipsFirstNewline,Not Compilable,Not Pass,Not Compilable,Not Pass,,,,,73,0.051,Not Compilable,Not Compilable,15,0.056,Not Compilable,Not Compilable,120,1430,22,268,193,1357,37,253,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,152,Closure-152-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testBackwardsTypedefUse5,Not Pass,Not Pass,Not Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,48,51,3,7,48,51,3,7,80,28,8,4,80,28,8,4
Jacksondatabind,47,JacksonDatabind-47-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.ser.TestJsonSerialize,testGeneralizedAnnotation,Not Pass,Not Pass,Not Pass,Not Pass,,,,,6,0.0306,6,0.0265,0,0,1,0.05,55,196,5,19,61,190,5,19,61,226,8,20,67,220,9,19
Compress,24,Compress-24-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalMultipleTrailingSpacesAndNuls,Not Pass,Pass,Pass,Pass,Partially Fix,,Not Testing the buggy branch/condition,,52,0.65,0,0,9,0.5,0,0,46,80,6,18,98,28,15,9,76,26,15,7,76,26,15,7
Closure,7,Closure-7-buggy_ind2,add_test1.java,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest,testTypeof4,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,26,JacksonCore-26-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.async.AsyncLocationTest,testLocationOffsetsWithEmptyFirstChunk,Not Pass,Not Pass,Not Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,43,19,3,3,43,19,3,3,46,19,3,3,46,19,3,3
Cli,40,Cli-40-buggy_ind1,add_test.java,org.apache.commons.cli.TypeHandlerTest,testCreateValueBoolean_failure,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,0,0,0,0,0,0,29,26,9,9,29,26,9,9,40,26,9,9,40,26,9,9
Closure,55,Closure-55-buggy_ind3,add_test2.java,com.google.javascript.jscomp.FunctionRewriterTest,testRegularFunctionExpressionReduced,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,33,JacksonDatabind-33-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.struct.TestUnwrapped,testUnwrappedWithJsonGetter,Not Pass,Pass,Pass,Pass,Partially Fix,,Not Testing the buggy branch/condition,,7,0.5,4,0.5,1,0.2,1,0.2,35,14,5,5,42,7,6,4,46,8,7,5,50,4,8,4
Compress,36,Compress-36-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.sevenz.SevenZFileTest,readMultipleEntriesWithEmptyStreams,Not Pass,Not Pass,Not Pass,Pass,Not fixing the correct part,,Good,,0,0,0,0,0,0,0,0,33,0,4,0,33,0,4,0,37,6,5,1,37,6,5,1
Math,67,Math-67-buggy_ind1,add_test.java,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest,testQuinticMax,Not Compilable,Not Pass,Not Compilable,Not Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,4,4,0,0,4,4,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,8,Compress-8-buggy_ind4,add_test3.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingNul,Not Pass,Pass,Pass,Pass,Not fixing the correct part,,Not Testing the buggy branch/condition,,32,0.6531,0,0,7,0.4667,0,0,17,49,1,15,49,17,8,8,93,4,16,6,93,4,16,6
Mockito,31,Mockito-31-buggy_ind3,add_test2.java,org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest,shouldPrintMethodCallWithMultipleArgs,Pass,Not Pass,Not Pass,Not Pass,Fixed,,Wrong Assumption about the project’s existing interface construction.,,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,46,0,4,0,46,0,4,0
Csv,3,Csv-3-buggy_ind1,add_test.java,org.apache.commons.csv.CSVLexerTest,testEscapedDigit,Not Compilable,Not Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,10,15,2,6,10,15,2,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,99,JacksonDatabind-99-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.type.TestTypeFactory,testCanonicalNamesAdditional3,Pass,Pass,Pass,Pass,Fixed,,Not Testing the buggy branch/condition,,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,27,0,0,0,27,0,0,0
Closure,75,Closure-75-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testVerticalTabNotWhitespace,Not Pass,Not Pass,Not Pass,Pass,Partially Fix,,Good,,3,0.0448,4,0.0597,1,0.0417,0,0,40,67,9,24,43,64,10,23,40,67,9,24,44,63,9,24
Jacksondatabind,15,JacksonDatabind-15-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.convert.TestConvertingSerializer,testIssue731WithNestedConverter,Not Compilable,Not Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,92,184,8,30,92,184,8,30,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,97,JacksonDatabind-97-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.node.POJONodeTest,testPOJONodeWithNullValue,Not Pass,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,12,Closure-12-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testExceptionHandlerWithFinally,Not Compilable,Not Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,2,0,0,0,2,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,31,Lang-31-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyCharArrayWithLoneSurrogates,Pass,Not Pass,Not Pass,Not Pass,Plausible Patch,"The first fix requires a complete surrogate pair match for supplementary characters. The second fix still allows partial surrogate matches, so it is too permissive and can preserve the original bug in some cases.",Wrong or incomplete understanding of the bug condition.,It failed to correctly understand the semantics that this bugfix was intended to verify.,4,0.5,9,0.3214,2,0.4,4,0.3077,33,8,5,5,37,4,7,3,67,28,13,13,76,19,17,9
Csv,7,Csv-7-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testNoDuplicateHeaderEntriesWithEmptyHeader,Not Pass,Pass,Pass,Pass,"The direction of model repair is correct, but the API behavior does not align with the official semantics.",,Not Testing the buggy branch/condition,,0,0,2,0.1818,0,0,1,0.1429,46,9,6,6,46,9,6,6,62,11,7,7,64,9,8,6
Jsoup,53,Jsoup-53-buggy_ind1,add_test.java,org.jsoup.select.SelectorTest,attributeWithUnbalancedBracketsThrows,Not Pass,Not Pass,Not Pass,Not Pass,,,,,1,0.5,1,0.0769,2,0.5,3,0.6,60,2,16,4,61,1,18,2,64,13,17,5,65,12,20,2
