project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,,difference between generated patch and developers' fix,fix the bug,new functionality,Is the testcase really trigger the bug,Is the testcase testing the new functionality
Closure,18,Closure-18-buggy_ind2,add_test1.java,com.google.javascript.jscomp.IntegrationTest,testDependencySortingWithCircularDependency,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,19,Closure-19-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeInferenceTest,testNoThisInferenceWithTypeCheck,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,36,Closure-36-buggy_ind1,add_test.java,com.google.javascript.jscomp.IntegrationTest,testSingletonGetterInlineFunction,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,39,Closure-39-buggy_ind1,add_test.java,com.google.javascript.rhino.jstype.RecordTypeTest,testExactlyMaxPropertiesNoEllipsis,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,41,Closure-41-buggy_ind2,add_test1.java,com.google.javascript.jscomp.LooseTypeCheckTest,testMethodInferenceMultipleParams,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,44,Closure-44-buggy_ind1,add_test.java,com.google.javascript.jscomp.CodePrinterTest,testIssue620_AdditionalCase1,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,44,Closure-44-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CodePrinterTest,testIssue620_AdditionalCase3,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,45,Closure-45-buggy_ind1,add_test.java,com.google.javascript.jscomp.RemoveUnusedVarsTest,testIssue618_aliased_no_property,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,45,Closure-45-buggy_ind3,add_test2.java,com.google.javascript.jscomp.RemoveUnusedVarsTest,testIssue618_non_literal_no_alias,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,53,Closure-53-buggy_ind1,add_test.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testEmptyObjectLiteralWithSingleProperty,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,53,Closure-53-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testEmptyObjectLiteralReassignment,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,77,Closure-77-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testHighCharactersEscaping,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,97,Closure-97-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldBitShiftsAdditional1,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,97,Closure-97-buggy_ind3,add_test2.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldBitShiftsAdditional3,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,101,Closure-101-buggy_ind1,add_test.java,com.google.javascript.jscomp.CommandLineRunnerTest,testProcessClosurePrimitivesWithRequire,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,109,Closure-109-buggy_ind1,add_test.java,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testStructuralConstructor4,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,109,Closure-109-buggy_ind2,add_test1.java,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testStructuralConstructor5,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,118,Closure-118-buggy_ind3,add_test2.java,com.google.javascript.jscomp.DisambiguatePropertiesTest,testThreeTypesWithQuotedProperties,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,123,Closure-123-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testPrintInOperatorInNameInitializer,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,126,Closure-126-buggy_ind1,add_test.java,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontMinimizeExitsInTryCatchFinally,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,126,Closure-126-buggy_ind2,add_test1.java,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontMinimizeExitsInTryFinally,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,com.google.javascript.jscomp.UnreachableCodeEliminationTest,testRemoveBreakNotInFinally,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,127,Closure-127-buggy_ind2,add_test1.java,com.google.javascript.jscomp.UnreachableCodeEliminationTest,testRemoveContinueNotInFinally,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,128,Closure-128-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testIssue942_LeadingZero,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,145,Closure-145-buggy_ind4,add_test3.java,com.google.javascript.jscomp.CodePrinterTest,testLabeledBlockWithDoLoop,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,159,Closure-159-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineFunctionsTest,testIssue423_AdditionalCase2,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,160,Closure-160-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CommandLineRunnerTest,testCheckSymbolsWithCheckSymbolsOption,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,161,Closure-161-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testArrayAccessIncrementDecrement,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,164,Closure-164-buggy_ind1,add_test.java,com.google.javascript.jscomp.LooseTypeCheckTest,testMethodInferenceAdditional1,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,166,Closure-166-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeInferenceTest,testUnionWithNullAndRecord,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,166,Closure-166-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeInferenceTest,testUnionWithUndefinedAndRecord,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,166,Closure-166-buggy_ind3,add_test2.java,com.google.javascript.jscomp.TypeInferenceTest,testUnionWithNumberAndMultipleRecords,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Compress,18,Compress-18-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testWriteVeryLongNonAsciiDirectoryNamePosixMode,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Compress,28,Compress-28-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,shouldThrowExceptionWhenReadingAfterTruncation,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Compress,28,Compress-28-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,shouldThrowExceptionOnPartialRead,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Compress,44,Compress-44-buggy_ind1,add_test.java,org.apache.commons.compress.utils.ChecksumCalculatingInputStreamTest,testValidChecksumValidInputStreamDoesNotThrow,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Csv,6,Csv-6-buggy_ind1,add_test.java,org.apache.commons.csv.CSVRecordTest,testToMapWithEmptyRecord,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Gson,5,Gson-5-buggy_ind1,add_test.java,com.google.gson.DefaultDateTypeAdapterTest,testDateDeserializationISO8601_NegativeOffset,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Gson,10,Gson-10-buggy_ind2,add_test1.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,testFieldWithoutAnnotationUsesDefaultAdapter,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Gson,10,Gson-10-buggy_ind3,add_test2.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,testNullValueWithPrimitiveAnnotation,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jacksondatabind,29,JacksonDatabind-29-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.jsontype.TestExternalId,testExternalTypeIdWithNullAndMultipleFields,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jacksondatabind,51,JacksonDatabind-51-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.jsontype.TestCustomTypeIdResolver,testPolymorphicTypeViaCustomWithDifferentTypeClass,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jacksondatabind,56,JacksonDatabind-56-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestJdkTypes,testLocaleMixedSeparators,Pass,Not Pass,Not Pass,Pass,,,,,,
Jacksondatabind,83,JacksonDatabind-83-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.filter.ProblemHandlerTest,testWeirdStringHandlingNullReturnFromDeserialize,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jacksondatabind,93,JacksonDatabind-93-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.interop.IllegalTypesCheckTest,testJDKTypes1872_SpringClassHierarchy,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jacksondatabind,107,JacksonDatabind-107-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.filter.ProblemHandlerUnknownTypeId2221Test,testHandlerReturnsNull,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jacksonxml,2,JacksonXml-2-buggy_ind2,add_test1.java,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest,testMixedContentTextBeforeMultipleElements,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,20,Jsoup-20-buggy_ind1,add_test.java,org.jsoup.helper.DataUtilTest,discardsSpuriousByteOrderMarkWhenCharsetIsNull,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,20,Jsoup-20-buggy_ind2,add_test1.java,org.jsoup.helper.DataUtilTest,discardsSpuriousByteOrderMarkWithCharsetRedecode,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,24,Jsoup-24-buggy_ind2,add_test1.java,org.jsoup.parser.HtmlParserTest,handlesEndTagWithWhitespaceInScript,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,24,Jsoup-24-buggy_ind3,add_test2.java,org.jsoup.parser.HtmlParserTest,handlesSelfClosingEndTagInScript,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,27,Jsoup-27-buggy_ind1,add_test.java,org.jsoup.helper.DataUtilTest,testCharsetWithWhitespaceInQuotes,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,27,Jsoup-27-buggy_ind2,add_test1.java,org.jsoup.helper.DataUtilTest,testCharsetCaseSensitivity,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,32,Jsoup-32-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,testCloneWithNoClassNames,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,35,Jsoup-35-buggy_ind1,add_test.java,org.jsoup.parser.HtmlParserTest,handlesNestedFormattingElements,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,35,Jsoup-35-buggy_ind2,add_test1.java,org.jsoup.parser.HtmlParserTest,handlesFormattingElementsWithAttributes,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,35,Jsoup-35-buggy_ind3,add_test2.java,org.jsoup.parser.HtmlParserTest,handlesUnclosedFormattingInTable,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,39,Jsoup-39-buggy_ind1,add_test.java,org.jsoup.helper.DataUtilTest,discardsSpuriousByteOrderMarkWithCharsetInMeta,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,39,Jsoup-39-buggy_ind2,add_test1.java,org.jsoup.helper.DataUtilTest,discardsSpuriousByteOrderMarkWithExplicitCharset,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,40,Jsoup-40-buggy_ind3,add_test2.java,org.jsoup.parser.HtmlParserTest,handlesDoctypeWithWhitespace,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,50,Jsoup-50-buggy_ind1,add_test.java,org.jsoup.helper.DataUtilTest,supportsUTF8BOM,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,55,Jsoup-55-buggy_ind2,add_test1.java,org.jsoup.parser.AttributeParseTest,selfClosingWithSlashBeforeEOF,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Jsoup,70,Jsoup-70-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,testKeepsPreTextAtDepthFive,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,28,Lang-28-buggy_ind2,add_test1.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testInvalidCodePoint,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,31,Lang-31-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyCharArrayWithLoneSurrogates,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,39,Lang-39-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testReplaceEach_EmptySearchString,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,54,Lang-54-buggy_ind1,add_test.java,org.apache.commons.lang.LocaleUtilsTest,testLang328_AdditionalCase1,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,54,Lang-54-buggy_ind3,add_test2.java,org.apache.commons.lang.LocaleUtilsTest,testLang328_AdditionalCase3,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,59,Lang-59-buggy_ind4,add_test3.java,org.apache.commons.lang.text.StrBuilderAppendInsertTest,testAppendFixedWidthPadRight_NullObject,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Lang,62,Lang-62-buggy_ind2,add_test1.java,org.apache.commons.lang.EntitiesTest,testUpperBoundary,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,3,Math-3-buggy_ind1,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,8,Math-8-buggy_ind1,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942MultipleElements,Pass,Not Pass,Not Pass,Pass,,,,,,
Math,20,Math-20-buggy_ind2,add_test1.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testRepairBothBounds,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,72,Math-72-buggy_ind1,add_test.java,org.apache.commons.math.analysis.solvers.BrentSolverTest,testRootAtMinEndpointWithInitialEqualsMin,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,72,Math-72-buggy_ind2,add_test1.java,org.apache.commons.math.analysis.solvers.BrentSolverTest,testRootAtMaxEndpointWithInitialEqualsMax,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,75,Math-75-buggy_ind1,add_test.java,org.apache.commons.math.stat.FrequencyTest,testPctWithNullValue,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,82,Math-82-buggy_ind1,add_test.java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testPivotRowWithZeroEntry,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,82,Math-82-buggy_ind2,add_test1.java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testPivotRowWithNegativeRHS,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,100,Math-100-buggy_ind1,add_test.java,org.apache.commons.math.estimation.GaussNewtonEstimatorTest,testAllBoundParameters,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Math,106,Math-106-buggy_ind3,add_test2.java,org.apache.commons.math.fraction.FractionFormatTest,testParseProperWithoutSlash,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Mockito,31,Mockito-31-buggy_ind1,add_test.java,org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest,shouldPrintMethodCallWithNoArgs,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Mockito,31,Mockito-31-buggy_ind2,add_test1.java,org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest,shouldPrintMethodCallWithSingleArg,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Mockito,31,Mockito-31-buggy_ind3,add_test2.java,org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNullsTest,shouldPrintMethodCallWithMultipleArgs,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Mockito,38,Mockito-38-buggy_ind1,add_test.java,org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest,shouldHandleNullArgumentWithNonNullMatcher,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Mockito,38,Mockito-38-buggy_ind2,add_test1.java,org.mockito.internal.verification.argumentmatching.ArgumentMatchingToolTest,shouldHandleMultipleArgumentsWithNullInMiddle,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Time,4,Time-4-buggy_ind2,add_test1.java,org.joda.time.TestPartial_Basics,testWithNewFieldInvalidRangeType,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Time,9,Time-9-buggy_ind2,add_test1.java,org.joda.time.TestDateTimeZone,testForOffsetHoursMinutes_edgeCaseMinutes,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Time,19,Time-19-buggy_ind1,add_test.java,org.joda.time.TestDateTimeZoneCutover,testDateTimeCreation_london_zeroOffset,Pass,Not Pass,Not Pass,Not Pass,,,,,,
