project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,,difference between generated patch and developers' fix,fix the bug,new functionality,Is the testcase really trigger the bug,Is the testcase testing the new functionality
Closure,20,Closure-20-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testSimpleFunctionCallNoArgs,Not Pass,Pass,Pass,,,,,,
Closure,24,Closure-24-buggy_ind1,add_test.java,com.google.javascript.jscomp.ScopedAliasesTest,testNonAliasLocalUninitializedVar,Not Pass,Pass,Pass,,,,,,
Closure,30,Closure-30-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDependsOnOuterScopeVarsWithNullDef,Not Pass,Pass,Pass,,,,,,
Closure,30,Closure-30-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testInlineWithUndeclaredVariable,Not Pass,Pass,Pass,,,,,,
Closure,31,Closure-31-buggy_ind1,add_test.java,com.google.javascript.jscomp.CommandLineRunnerTest,testDependencySortingWithExternsAndNoCompile,Not Pass,Pass,Pass,,,,,,
Closure,31,Closure-31-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CommandLineRunnerTest,testDependencySortingWithNoCompileAnnotation,Not Pass,Pass,Pass,,,,,,
Closure,33,Closure-33-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testIssue700_AdditionalCase1,Not Pass,Pass,Pass,,,,,,
Closure,33,Closure-33-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testIssue700_AdditionalCase2,Not Pass,Pass,Pass,,,,,,
Closure,38,Closure-38-buggy_ind1,add_test.java,com.google.javascript.jscomp.CodePrinterTest,testMinusPositiveZero,Not Pass,Pass,Pass,,,,,,
Closure,38,Closure-38-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testNegativeZeroAlone,Not Pass,Pass,Pass,,,,,,
Closure,38,Closure-38-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CodePrinterTest,testPositiveZeroAlone,Not Pass,Pass,Pass,,,,,,
Closure,46,Closure-46-buggy_ind3,add_test2.java,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType_PartialOverlap,Not Pass,Pass,Pass,,,,,,
Closure,64,Closure-64-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CommandLineRunnerTest,testNonStrictModeNoUseStrict,Not Pass,Pass,Pass,,,,,,
Closure,65,Closure-65-buggy_ind1,add_test.java,com.google.javascript.jscomp.CodePrinterTest,testZeroFollowedByNonDigit,Not Pass,Pass,Pass,,,,,,
Closure,65,Closure-65-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testZeroAtEndOfString,Not Pass,Pass,Pass,,,,,,
Closure,68,Closure-68-buggy_ind1,add_test.java,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testIssue477_missingOpeningLPAfterStringType,Not Pass,Pass,Pass,,,,,,
Closure,70,Closure-70-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testFunctionArgumentsNoJSDoc,Not Pass,Pass,Pass,,,,,,
Closure,70,Closure-70-buggy_ind2,add_test1.java,com.google.javascript.jscomp.LooseTypeCheckTest,testFunctionArgumentsNoJSDoc,Not Pass,Pass,Pass,,,,,,
Closure,70,Closure-70-buggy_ind3,add_test2.java,com.google.javascript.jscomp.TypeCheckTest,testFunctionArgumentsNullFunctionType,Not Pass,Pass,Pass,,,,,,
Closure,71,Closure-71-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CheckAccessControlsTest,testNoPrivateAccessForProperties8_AdditionalBranch,Not Pass,Pass,Pass,,,,,,
Closure,71,Closure-71-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CheckAccessControlsTest,testProtectedPropertyAccess,Not Pass,Pass,Pass,,,,,,
Closure,74,Closure-74-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldComparisonNumberWithUndefined,Not Pass,Pass,Pass,,,,,,
Closure,74,Closure-74-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldComparisonStringWithUndefined,Not Pass,Pass,Pass,,,,,,
Closure,76,Closure-76-buggy_ind1,add_test.java,com.google.javascript.jscomp.DeadAssignmentsEliminationTest,testNestedShortCircuit,Not Pass,Pass,Pass,,,,,,
Closure,76,Closure-76-buggy_ind2,add_test1.java,com.google.javascript.jscomp.DeadAssignmentsEliminationTest,testHookWithShortCircuit,Not Pass,Pass,Pass,,,,,,
Closure,76,Closure-76-buggy_ind3,add_test2.java,com.google.javascript.jscomp.DeadAssignmentsEliminationTest,testMultipleShortCircuitWithReturn,Not Pass,Pass,Pass,,,,,,
Closure,89,Closure-89-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CollapsePropertiesTest,testAliasCreatedForObjectDepth2WithLocalSetInFunction,Not Pass,Pass,Pass,,,,,,
Closure,99,Closure-99-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckGlobalThisTest,testInterfaceWithThisType,Not Pass,Pass,Pass,,,,,,
Closure,99,Closure-99-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CheckGlobalThisTest,testNestedPrototypeProperty,Not Pass,Pass,Pass,,,,,,
Closure,99,Closure-99-buggy_ind4,add_test3.java,com.google.javascript.jscomp.CheckGlobalThisTest,testConstructorWithoutAnnotation,Not Pass,Pass,Pass,,,,,,
Closure,100,Closure-100-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckGlobalThisTest,testGlobalThisWithoutPropertyAccess,Not Pass,Pass,Pass,,,,,,
Closure,100,Closure-100-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CheckGlobalThisTest,testInnerFunctionThisWithoutPropertyAccess,Not Pass,Pass,Pass,,,,,,
Closure,103,Closure-103-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckUnreachableCodeTest,testInstanceOfThrowsExceptionNoTry,Not Pass,Pass,Pass,,,,,,
Closure,103,Closure-103-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ControlFlowAnalysisTest,testInstanceOfInCondition,Not Pass,Pass,Pass,,,,,,
Closure,104,Closure-104-buggy_ind1,add_test.java,com.google.javascript.rhino.jstype.UnionTypeTest,testGreatestSubtypeUnionTypes6,Not Pass,Pass,Pass,,,,,,
Closure,104,Closure-104-buggy_ind2,add_test1.java,com.google.javascript.rhino.jstype.UnionTypeTest,testGreatestSubtypeUnionTypes7,Not Pass,Pass,Pass,,,,,,
Closure,112,Closure-112-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testTemplateInferenceWithNoMatchingParameters,Not Pass,Pass,Pass,,,,,,
Closure,112,Closure-112-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testTemplateInferenceWithUnrelatedTemplateParam,Not Pass,Pass,Pass,,,,,,
Closure,115,Closure-115-buggy_ind1,add_test.java,com.google.javascript.jscomp.InlineFunctionsTest,testInlineWithFewerArgsThanParams,Not Pass,Pass,Pass,,,,,,
Closure,115,Closure-115-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineFunctionsTest,testInlineWithMoreArgsThanParams,Not Pass,Pass,Pass,,,,,,
Closure,116,Closure-116-buggy_ind1,add_test.java,com.google.javascript.jscomp.FunctionInjectorTest,testIssue1101c,Not Pass,Pass,Pass,,,,,,
Closure,116,Closure-116-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FunctionInjectorTest,testIssue1101d,Not Pass,Pass,Pass,,,,,,
Closure,119,Closure-119-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CheckGlobalNamesTest,testNestedCatchBlocks,Not Pass,Pass,Pass,,,,,,
Closure,120,Closure-120-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineVariablesTest,testAssignmentInFunctionCalledMultipleTimes,Not Pass,Pass,Pass,,,,,,
Closure,121,Closure-121-buggy_ind1,add_test.java,com.google.javascript.jscomp.InlineVariablesTest,testNoInlineAliasOfMutableVariable,Not Pass,Pass,Pass,,,,,,
Closure,121,Closure-121-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineVariablesTest,testNoInlineAliasOfReassignedVariable,Not Pass,Pass,Pass,,,,,,
Closure,121,Closure-121-buggy_ind3,add_test2.java,com.google.javascript.jscomp.InlineVariablesTest,testNoInlineAliasWhenBaseModifiedLater,Not Pass,Pass,Pass,,,,,,
Closure,131,Closure-131-buggy_ind1,add_test.java,com.google.javascript.jscomp.ConvertToDottedPropertiesTest,testConvertValidASCIIIdentifiers,Not Pass,Pass,Pass,,,,,,
Closure,131,Closure-131-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ConvertToDottedPropertiesTest,testDoNotConvertNonASCIIIdentifiers,Not Pass,Pass,Pass,,,,,,
Closure,132,Closure-132-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testIssue925_AdditionalCase1,Not Pass,Pass,Pass,,,,,,
Closure,132,Closure-132-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testIssue925_AdditionalCase2,Not Pass,Pass,Pass,,,,,,
Closure,134,Closure-134-buggy_ind2,add_test1.java,com.google.javascript.jscomp.AmbiguatePropertiesTest,testImplementsInterfaceWithInheritedProperty,Not Pass,Pass,Pass,,,,,,
Closure,135,Closure-135-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testPrototypePropertyDefinition,Not Pass,Pass,Pass,,,,,,
Closure,136,Closure-136-buggy_ind2,add_test1.java,com.google.javascript.jscomp.MethodCheckTest,testIndirectMethodDefinition,Not Pass,Pass,Pass,,,,,,
Closure,137,Closure-137-buggy_ind2,add_test1.java,com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest,testInversionFirstDeclarationNoSuffix,Not Pass,Pass,Pass,,,,,,
Closure,142,Closure-142-buggy_ind4,add_test3.java,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testParseLicenseWithAnnotationAtStart,Not Pass,Pass,Pass,,,,,,
Closure,146,Closure-146-buggy_ind2,add_test1.java,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest,testEqCondition_NullAndVoid,Not Pass,Pass,Pass,,,,,,
Closure,155,Closure-155-buggy_ind1,add_test.java,com.google.javascript.jscomp.InlineVariablesTest,testArgumentsModifiedInSiblingFunction,Not Pass,Pass,Pass,,,,,,
Closure,155,Closure-155-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineVariablesTest,testArgumentsNotModified,Not Pass,Pass,Pass,,,,,,
Closure,163,Closure-163-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CrossModuleMethodMotionTest,testIssue600_ClosureInPrototypeAssignment,Not Pass,Pass,Pass,,,,,,
Closure,171,Closure-171-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testObjectLiteralPropertyTypeInference,Not Pass,Pass,Pass,,,,,,
Closure,171,Closure-171-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypedScopeCreatorTest,testObjectLiteralWithMultipleProperties,Not Pass,Pass,Pass,,,,,,
Closure,173,Closure-173-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testNestedNonAssociativeOps,Not Pass,Pass,Pass,,,,,,
Closure,175,Closure-175-buggy_ind1,add_test.java,com.google.javascript.jscomp.FunctionInjectorTest,testIssue1101c,Not Pass,Pass,Pass,,,,,,
Codec,2,Codec-2-buggy_ind1,add_test.java,org.apache.commons.codec.binary.Base64OutputStreamTest,testBase64SingleByteOutputStream,Not Pass,Pass,Pass,,,,,,
Codec,2,Codec-2-buggy_ind2,add_test1.java,org.apache.commons.codec.binary.Base64OutputStreamTest,testBase64TwoBytesOutputStream,Not Pass,Pass,Pass,,,,,,
Codec,7,Codec-7-buggy_ind1,add_test.java,org.apache.commons.codec.binary.Base64Test,testEncodeBase64StringWithNullInput,Not Pass,Pass,Pass,,,,,,
Collections,2,Collections-2-buggy_ind2,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testIncludeNonEmptyStringReturnsValue,Not Pass,Pass,Pass,,,,,,
Collections,9,Collections-9-buggy_ind3,add_test2.java,org.apache.commons.collections.TestExtendedProperties,testCombineEmptyProperties,Not Pass,Pass,Pass,,,,,,
Collections,12,Collections-12-buggy_ind1,add_test.java,org.apache.commons.collections.TestExtendedProperties,testCombineWithMultipleValues,Not Pass,Pass,Pass,,,,,,
Collections,12,Collections-12-buggy_ind2,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testCombineWithSpecialCharacters,Not Pass,Pass,Pass,,,,,,
Collections,12,Collections-12-buggy_ind3,add_test2.java,org.apache.commons.collections.TestExtendedProperties,testCombineEmpty,Not Pass,Pass,Pass,,,,,,
Collections,15,Collections-15-buggy_ind3,add_test2.java,org.apache.commons.collections.list.TestSetUniqueList,testSetWithSameElement,Not Pass,Pass,Pass,,,,,,
Collections,18,Collections-18-buggy_ind1,add_test.java,org.apache.commons.collections.set.ListOrderedSetTest,testRetainAllPartialOverlap,Not Pass,Pass,Pass,,,,,,
Collections,18,Collections-18-buggy_ind2,add_test1.java,org.apache.commons.collections.set.ListOrderedSetTest,testRetainAllEmptyCollection,Not Pass,Pass,Pass,,,,,,
Collections,18,Collections-18-buggy_ind3,add_test2.java,org.apache.commons.collections.set.ListOrderedSetTest,testRetainAllNoChange,Not Pass,Pass,Pass,,,,,,
Collections,20,Collections-20-buggy_ind1,add_test.java,org.apache.commons.collections.list.TreeListTest,testBugCollections447_RemoveAfterNext,Not Pass,Pass,Pass,,,,,,
Collections,20,Collections-20-buggy_ind3,add_test2.java,org.apache.commons.collections.list.TreeListTest,testBugCollections447_RemoveAtEnd,Not Pass,Pass,Pass,,,,,,
Collections,28,Collections-28-buggy_ind1,add_test.java,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapSize,Not Pass,Pass,Pass,,,,,,
Collections,28,Collections-28-buggy_ind2,add_test1.java,org.apache.commons.collections4.trie.PatriciaTrieTest,testPrefixMapContainsKey,Not Pass,Pass,Pass,,,,,,
Compress,1,Compress-1-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseIdempotency,Not Pass,Pass,Pass,,,,,,
Compress,3,Compress-3-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithoutEntry,Not Pass,Pass,Pass,,,,,,
Compress,3,Compress-3-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishAfterCloseEntry,Not Pass,Pass,Pass,,,,,,
Compress,4,Compress-4-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testCloseWithFinishException,Not Pass,Pass,Pass,,,,,,
Compress,4,Compress-4-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testCloseAfterException,Not Pass,Pass,Pass,,,,,,
Compress,8,Compress-8-buggy_ind3,add_test2.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingSpace,Not Pass,Pass,Pass,,,,,,
Compress,8,Compress-8-buggy_ind4,add_test3.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingNul,Not Pass,Pass,Pass,,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parseOctalWithMinimalLength,Not Pass,Pass,Pass,,,,,,
Compress,14,Compress-14-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parseOctalWithOnlyTrailers,Not Pass,Pass,Pass,,,,,,
Compress,14,Compress-14-buggy_ind3,add_test2.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parseOctalWithLeadingSpacesAndMinimal,Not Pass,Pass,Pass,,,,,,
Compress,16,Compress-16-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,testShortStreamLessThan512Bytes,Not Pass,Pass,Pass,,,,,,
Compress,24,Compress-24-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalMultipleTrailingSpacesAndNuls,Not Pass,Pass,Pass,,,,,,
Compress,24,Compress-24-buggy_ind3,add_test2.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalLeadingSpacesWithTrailing,Not Pass,Pass,Pass,,,,,,
Compress,31,Compress-31-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalTrailingNulsOnly,Not Pass,Pass,Pass,,,,,,
Compress,40,Compress-40-buggy_ind1,add_test.java,org.apache.commons.compress.utils.BitInputStreamTest,bigEndianZeroBitsRead,Not Pass,Pass,Pass,,,,,,
Compress,40,Compress-40-buggy_ind2,add_test1.java,org.apache.commons.compress.utils.BitInputStreamTest,littleEndianZeroBitsRead,Not Pass,Pass,Pass,,,,,,
Compress,40,Compress-40-buggy_ind3,add_test2.java,org.apache.commons.compress.utils.BitInputStreamTest,bigEndianMultipleReadsWithBoundary,Not Pass,Pass,Pass,,,,,,
Compress,40,Compress-40-buggy_ind4,add_test3.java,org.apache.commons.compress.utils.BitInputStreamTest,littleEndianSingleBitReads,Not Pass,Pass,Pass,,,,,,
Compress,47,Compress-47-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,canReadEntryDataForUnshrinkingMethod,Not Pass,Pass,Pass,,,,,,
Compress,47,Compress-47-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,canReadEntryDataForImplodingMethod,Not Pass,Pass,Pass,,,,,,
Compress,47,Compress-47-buggy_ind3,add_test2.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,canReadEntryDataForBzip2Method,Not Pass,Pass,Pass,,,,,,
Csv,7,Csv-7-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testNoDuplicateHeaderEntriesWithEmptyHeader,Not Pass,Pass,Pass,,,,,,
Csv,7,Csv-7-buggy_ind4,add_test3.java,org.apache.commons.csv.CSVParserTest,testNoDuplicateHeaderEntriesWithExplicitHeader,Not Pass,Pass,Pass,,,,,,
Csv,8,Csv-8-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVFormatTest,testNoDuplicateHeaderElements,Not Pass,Pass,Pass,,,,,,
Csv,11,Csv-11-buggy_ind1,add_test.java,org.apache.commons.csv.CSVParserTest,testHeaderDuplicateNonEmpty,Not Pass,Pass,Pass,,,,,,
Csv,11,Csv-11-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVParserTest,testHeaderDuplicateEmptyWithIgnoreFalse,Not Pass,Pass,Pass,,,,,,
Csv,16,Csv-16-buggy_ind1,add_test.java,org.apache.commons.csv.CSVParserTest,testIteratorMultipleHasNextCalls,Not Pass,Pass,Pass,,,,,,
Csv,16,Csv-16-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVParserTest,testIteratorNextWithoutHasNext,Not Pass,Pass,Pass,,,,,,
Csv,16,Csv-16-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testIteratorMixedHasNextAndNext,Not Pass,Pass,Pass,,,,,,
Gson,7,Gson-7-buggy_ind1,add_test.java,com.google.gson.stream.JsonReaderTest,testNextLongWithQuotedValue,Not Pass,Pass,Pass,,,,,,
Gson,7,Gson-7-buggy_ind2,add_test1.java,com.google.gson.stream.JsonReaderTest,testNextIntWithQuotedValue,Not Pass,Pass,Pass,,,,,,
Gson,7,Gson-7-buggy_ind3,add_test2.java,com.google.gson.stream.JsonReaderTest,testNextLongWithSingleQuotedValue,Not Pass,Pass,Pass,,,,,,
Gson,7,Gson-7-buggy_ind4,add_test3.java,com.google.gson.stream.JsonReaderTest,testNextIntWithInvalidQuotedDouble,Not Pass,Pass,Pass,,,,,,
Gson,17,Gson-17-buggy_ind4,add_test3.java,com.google.gson.DefaultDateTypeAdapterTest,testUnexpectedTokenNumber,Not Pass,Pass,Pass,,,,,,
Jacksoncore,4,JacksonCore-4-buggy_ind1,add_test.java,com.fasterxml.jackson.core.util.TestTextBuffer,testExpandAtMaxSegmentLen,Not Pass,Pass,Pass,,,,,,
Jacksoncore,9,JacksonCore-9-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.TestJsonParser,testGetValueAsTextNullToken,Not Pass,Pass,Pass,,,,,,
Jacksoncore,9,JacksonCore-9-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.TestJsonParser,testGetValueAsTextNonString,Not Pass,Pass,Pass,,,,,,
Jacksoncore,10,JacksonCore-10-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.sym.TestByteBasedSymbols,testLargeSpilloverArea,Not Pass,Pass,Pass,,,,,,
Jacksoncore,14,JacksonCore-14-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.io.TestIOContext,testReleaseWithLargerBuffer,Not Pass,Pass,Pass,,,,,,
Jacksoncore,15,JacksonCore-15-buggy_ind1,add_test.java,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testNotAllowMultipleMatchesWithArray,Not Pass,Pass,Pass,,,,,,
Jacksoncore,15,JacksonCore-15-buggy_ind3,add_test2.java,com.fasterxml.jackson.core.filter.BasicParserFilteringTest,testNotAllowMultipleMatchesFieldAfterObject,Not Pass,Pass,Pass,,,,,,
Jacksoncore,26,JacksonCore-26-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.async.AsyncLocationTest,testLocationOffsetsMultipleFeedsLineNumber,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,7,JacksonDatabind-7-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating,testDelegateWithTokenBufferStartArray,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,9,JacksonDatabind-9-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.ser.TestMapSerialization,testPrimitiveClassKeys,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,14,JacksonDatabind-14-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.convert.TestUpdateValue,testUpdateWithEmptyArray,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,21,JacksonDatabind-21-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestEnumDeserialization,testEnumWithNonBundleAnnotation,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,24,JacksonDatabind-24-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.ser.TestConfig,testDateFormatConfigWithNullDateFormat,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,27,JacksonDatabind-27-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.jsontype.TestExternalId,testExternalIdWithMultiplePropertiesReordered,Not Pass,Pass,Pass,,,,,,
Jacksondatabind,27,JacksonDatabind-27-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.jsontype.TestExternalId,testExternalIdAsLastProperty,Not Pass,Pass,Pass,,,,,,
