project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result
Closure,29,Closure-29-buggy_ind3,add_test2.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testObjectPropertyAccessInVarDecl,Not Pass,Not Pass,Pass
Closure,46,Closure-46-buggy_ind1,add_test.java,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType_NoCommonProperties,Not Pass,Not Pass,Pass
Closure,46,Closure-46-buggy_ind2,add_test1.java,com.google.javascript.rhino.jstype.RecordTypeTest,testSupAndInf_NoCommonProperties,Not Pass,Not Pass,Pass
Closure,47,Closure-47-buggy_ind1,add_test.java,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testMultilineEdgeCase,Not Pass,Not Pass,Pass
Closure,50,Closure-50-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest,testNoStringJoinMultipleExtraArgs,Not Pass,Not Pass,Pass
Closure,50,Closure-50-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest,testNoStringJoinWithStringLiteralExtraArg,Not Pass,Not Pass,Pass
Closure,66,Closure-66-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testGetTypedPercent7,Not Pass,Not Pass,Pass
Closure,66,Closure-66-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testGetTypedPercent8,Not Pass,Not Pass,Pass
Closure,78,Closure-78-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldDivideByZero,Not Pass,Not Pass,Pass
Closure,78,Closure-78-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldModuloByZero,Not Pass,Not Pass,Pass
Closure,85,Closure-85-buggy_ind1,add_test.java,com.google.javascript.jscomp.UnreachableCodeEliminationTest,testRemoveBreakWhenFollowNodeIsNull,Not Pass,Not Pass,Pass
Closure,85,Closure-85-buggy_ind3,add_test2.java,com.google.javascript.jscomp.UnreachableCodeEliminationTest,testRemoveReturnWhenFollowNodeIsNull,Not Pass,Not Pass,Pass
Closure,96,Closure-96-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testFunctionArguments16_additional1,Not Pass,Not Pass,Pass
Closure,96,Closure-96-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testFunctionArguments16_additional2,Not Pass,Not Pass,Pass
Closure,96,Closure-96-buggy_ind3,add_test2.java,com.google.javascript.jscomp.TypeCheckTest,testFunctionArguments16_additional3,Not Pass,Not Pass,Pass
Closure,99,Closure-99-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CheckGlobalThisTest,testGetElemPrototypeAssignment,Not Pass,Not Pass,Pass
Closure,100,Closure-100-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CheckGlobalThisTest,testNestedPropertyAccess,Not Pass,Not Pass,Pass
Closure,103,Closure-103-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CheckUnreachableCodeTest,testInstanceOfNestedThrowsException,Not Pass,Not Pass,Pass
Closure,142,Closure-142-buggy_ind1,add_test.java,com.google.javascript.jscomp.CoalesceVariableNamesTest,testParameter5,Not Pass,Not Pass,Pass
Closure,142,Closure-142-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CoalesceVariableNamesTest,testParameter6,Not Pass,Not Pass,Pass
Closure,142,Closure-142-buggy_ind3,add_test2.java,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testParseLicenseWithMultipleAnnotations,Not Pass,Not Pass,Pass
Closure,143,Closure-143-buggy_ind1,add_test.java,com.google.javascript.jscomp.CommandLineRunnerTest,testDefineFlag_DoubleQuotedString,Not Pass,Not Pass,Pass
Closure,143,Closure-143-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CommandLineRunnerTest,testDefineFlag_SingleQuoteInsideDoubleQuotes,Not Pass,Not Pass,Pass
Closure,144,Closure-144-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CodePrinterTest,testReturnTypeArrowFunctionNoReturn,Not Pass,Not Pass,Pass
Closure,147,Closure-147-buggy_ind2,add_test1.java,com.google.javascript.jscomp.RuntimeTypeCheckTest,testValueWithMultipleInnerFns,Not Pass,Not Pass,Pass
Codec,11,Codec-11-buggy_ind3,add_test2.java,org.apache.commons.codec.net.QuotedPrintableCodecTest,testOnlyWhitespace,Not Pass,Not Pass,Pass
Collections,2,Collections-2-buggy_ind1,add_test.java,org.apache.commons.collections.TestExtendedProperties,testIncludeEmptyStringReturnsNull,Not Pass,Not Pass,Pass
Collections,7,Collections-7-buggy_ind2,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testKeySet6,Not Pass,Not Pass,Pass
Collections,13,Collections-13-buggy_ind2,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testCollections299_AdditionalCase2,Not Pass,Not Pass,Pass
Collections,15,Collections-15-buggy_ind2,add_test1.java,org.apache.commons.collections.list.TestSetUniqueList,testSetWithNewElement,Not Pass,Not Pass,Pass
Compress,8,Compress-8-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllSpaces,Not Pass,Not Pass,Pass
Compress,8,Compress-8-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllZeros,Not Pass,Not Pass,Pass
Compress,17,Compress-17-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,testParseOctalMultipleTrailingSpacesAndNuls,Not Pass,Not Pass,Pass
Compress,17,Compress-17-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,testParseOctalThreeTrailingSpaces,Not Pass,Not Pass,Pass
Compress,17,Compress-17-buggy_ind3,add_test2.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,testParseOctalAlternatingTrailingNulsAndSpaces,Not Pass,Not Pass,Pass
Compress,24,Compress-24-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllSpacesAndNuls,Not Pass,Not Pass,Pass
Compress,31,Compress-31-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllSpaces,Not Pass,Not Pass,Pass
Compress,31,Compress-31-buggy_ind3,add_test2.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalLeadingSpacesTrailingSpaces,Not Pass,Not Pass,Pass
Csv,7,Csv-7-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVParserTest,testDuplicateHeaderEntriesMultipleDuplicates,Not Pass,Not Pass,Pass
Csv,8,Csv-8-buggy_ind1,add_test.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElementsWithThreeElements,Not Pass,Not Pass,Pass
Csv,8,Csv-8-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElementsMultipleDuplicates,Not Pass,Not Pass,Pass
Csv,11,Csv-11-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testHeaderMixedEmptyNonEmpty,Not Pass,Not Pass,Pass
Gson,4,Gson-4-buggy_ind3,add_test2.java,com.google.gson.stream.JsonReaderTest,testTopLevelStringMultiplePeeks,Not Pass,Not Pass,Pass
Gson,17,Gson-17-buggy_ind2,add_test1.java,com.google.gson.DefaultDateTypeAdapterTest,testNullValueWithSqlDate,Not Pass,Not Pass,Pass
Jacksoncore,14,JacksonCore-14-buggy_ind1,add_test.java,com.fasterxml.jackson.core.io.TestIOContext,testReleaseWithEqualSizedBuffer,Not Pass,Not Pass,Pass
Jacksondatabind,3,JacksonDatabind-3-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.deser.TestArrayDeserialization,testStringArrayMultipleNulls,Not Pass,Not Pass,Pass
Jacksondatabind,3,JacksonDatabind-3-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestArrayDeserialization,testStringArrayMixedNullsAndStrings,Not Pass,Not Pass,Pass
Jacksondatabind,4,JacksonDatabind-4-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization,testArrayIndexForExceptionsAtIndex0,Not Pass,Not Pass,Pass
Jacksondatabind,4,JacksonDatabind-4-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization,testArrayIndexForExceptionsAtIndex2,Not Pass,Not Pass,Pass
Jacksondatabind,6,JacksonDatabind-6-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestDateDeserialization,testISO8601SingleDigitMilliseconds,Not Pass,Not Pass,Pass
Jacksondatabind,7,JacksonDatabind-7-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating,testDelegateWithTokenBufferNestedObject,Not Pass,Not Pass,Pass
Jacksondatabind,9,JacksonDatabind-9-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.ser.TestMapSerialization,testMultipleClassKeys,Not Pass,Not Pass,Pass
Jacksondatabind,9,JacksonDatabind-9-buggy_ind3,add_test2.java,com.fasterxml.jackson.databind.ser.TestMapSerialization,testArrayClassKey,Not Pass,Not Pass,Pass
Jacksondatabind,12,JacksonDatabind-12-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestCustomDeserializers,testCustomMapDeserWithNullKeyDeser735,Not Pass,Not Pass,Pass
Jacksondatabind,13,JacksonDatabind-13-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.struct.TestObjectIdDeserialization,testNullObjectIdWithoutIdProperty,Not Pass,Not Pass,Pass
Jacksondatabind,13,JacksonDatabind-13-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.struct.TestObjectIdDeserialization,testNullObjectIdWithReference,Not Pass,Not Pass,Pass
Jacksondatabind,16,JacksonDatabind-16-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.mixins.MixinsWithBundlesTest,testMixinWithBundlesMultipleAnnotations,Not Pass,Not Pass,Pass
Jacksondatabind,16,JacksonDatabind-16-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.mixins.MixinsWithBundlesTest,testMixinWithBundlesDifferentAnnotations,Not Pass,Not Pass,Pass
Jacksondatabind,17,JacksonDatabind-17-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.node.TestJsonNode,testNestedArrayWithDefaultTyping,Not Pass,Not Pass,Pass
Jacksondatabind,17,JacksonDatabind-17-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.node.TestJsonNode,testObjectNodeWithDefaultTyping,Not Pass,Not Pass,Pass
Jacksondatabind,21,JacksonDatabind-21-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.deser.TestEnumDeserialization,testEnumWithNullAnnotation,Not Pass,Not Pass,Pass
Jacksondatabind,24,JacksonDatabind-24-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.ser.TestConfig,testDateFormatConfigWithSameDateFormat,Not Pass,Not Pass,Pass
Jacksondatabind,41,JacksonDatabind-41-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.interop.DeprecatedTypeHandling1102Test,testDeprecatedTypeResolutionWithPrimitives,Not Pass,Not Pass,Pass
Jacksondatabind,41,JacksonDatabind-41-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.interop.DeprecatedTypeHandling1102Test,testDeprecatedTypeResolutionWithGenerics,Not Pass,Not Pass,Pass
Jacksondatabind,57,JacksonDatabind-57-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.seq.ReadValuesTest,testRootBeansWithOffset,Not Pass,Not Pass,Pass
Jacksondatabind,57,JacksonDatabind-57-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.seq.ReadValuesTest,testRootBeansWithSubarray,Not Pass,Not Pass,Pass
Jacksondatabind,71,JacksonDatabind-71-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestMapDeserialization,testEmptyCharSequenceKeyMap,Not Pass,Not Pass,Pass
Jacksondatabind,87,JacksonDatabind-87-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.deser.TestDateDeserialization,testDateUtilISO8601NoTimezoneCase11,Not Pass,Not Pass,Pass
Jacksondatabind,87,JacksonDatabind-87-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.TestDateDeserialization,testDateUtilISO8601NoTimezoneCase10,Not Pass,Not Pass,Pass
Jacksondatabind,90,JacksonDatabind-90-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.creators.DelegatingArrayCreator1804Test,testDelegatingArrayWithValues1804,Not Pass,Not Pass,Pass
Jacksondatabind,99,JacksonDatabind-99-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.type.TestTypeFactory,testCanonicalNamesAdditional2,Not Pass,Not Pass,Pass
Jacksondatabind,102,JacksonDatabind-102-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.ser.jdk.SqlDateSerializationTest,testSqlDateConfigOverrideWithTimeZone,Not Pass,Not Pass,Pass
Jacksondatabind,106,JacksonDatabind-106-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.node.TestTreeTraversingParser,testNumberOverflowIntNegative,Not Pass,Not Pass,Pass
Jacksondatabind,106,JacksonDatabind-106-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.node.TestTreeTraversingParser,testNumberOverflowLongNegative,Not Pass,Not Pass,Pass
Jacksonxml,1,JacksonXml-1-buggy_ind1,add_test.java,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedListsMultipleEmpty,Not Pass,Not Pass,Pass
Jacksonxml,1,JacksonXml-1-buggy_ind2,add_test1.java,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithMultipleEmptyVehicleActivity,Not Pass,Not Pass,Pass
Jsoup,13,Jsoup-13-buggy_ind2,add_test1.java,org.jsoup.nodes.NodeTest,handlesAbsPrefixWithFullUrl,Not Pass,Not Pass,Pass
Jsoup,16,Jsoup-16-buggy_ind2,add_test1.java,org.jsoup.nodes.DocumentTypeTest,constructorValidationThrowsExceptionOnWhitespaceName,Not Pass,Not Pass,Pass
Jsoup,18,Jsoup-18-buggy_ind1,add_test.java,org.jsoup.parser.CharacterReaderTest,consumeToEndWhenEmpty,Not Pass,Not Pass,Pass
Jsoup,18,Jsoup-18-buggy_ind2,add_test1.java,org.jsoup.parser.CharacterReaderTest,consumeToEndAfterPartialConsume,Not Pass,Not Pass,Pass
Jsoup,28,Jsoup-28-buggy_ind2,add_test1.java,org.jsoup.nodes.EntitiesTest,invalidHighCharacterValue,Not Pass,Not Pass,Pass
Jsoup,28,Jsoup-28-buggy_ind4,add_test3.java,org.jsoup.nodes.EntitiesTest,charValueJustOverBoundary,Not Pass,Not Pass,Pass
Jsoup,36,Jsoup-36-buggy_ind1,add_test.java,org.jsoup.helper.DataUtilTest,shouldHandleSingleQuotedCharset,Not Pass,Not Pass,Pass
Jsoup,36,Jsoup-36-buggy_ind2,add_test1.java,org.jsoup.helper.DataUtilTest,shouldHandleMixedQuotesInCharset,Not Pass,Not Pass,Pass
Jsoup,36,Jsoup-36-buggy_ind3,add_test2.java,org.jsoup.helper.DataUtilTest,shouldReturnNullForQuotedEmptyCharset,Not Pass,Not Pass,Pass
Jsoup,42,Jsoup-42-buggy_ind1,add_test.java,org.jsoup.nodes.FormElementTest,skipsDisabledSelectElement,Not Pass,Not Pass,Pass
Jsoup,42,Jsoup-42-buggy_ind2,add_test1.java,org.jsoup.nodes.FormElementTest,skipsDisabledRadioButton,Not Pass,Not Pass,Pass
Jsoup,42,Jsoup-42-buggy_ind3,add_test2.java,org.jsoup.nodes.FormElementTest,includesEnabledTextareaWithDisabledInput,Not Pass,Not Pass,Pass
Jsoup,52,Jsoup-52-buggy_ind1,add_test.java,org.jsoup.nodes.DocumentTest,testMetaCharsetUpdateXmlMultipleAttributes,Not Pass,Not Pass,Pass
Jsoup,69,Jsoup-69-buggy_ind1,add_test.java,org.jsoup.nodes.FormElementTest,addElementNotInFormShouldNotBeAdded,Not Pass,Not Pass,Pass
Jsoup,74,Jsoup-74-buggy_ind1,add_test.java,org.jsoup.nodes.ElementTest,testNormalizesMultipleConsecutiveInvisibles,Not Pass,Not Pass,Pass
Jsoup,74,Jsoup-74-buggy_ind2,add_test1.java,org.jsoup.nodes.ElementTest,testNormalizesInvisiblesAtBoundaries,Not Pass,Not Pass,Pass
Jsoup,74,Jsoup-74-buggy_ind3,add_test2.java,org.jsoup.nodes.ElementTest,testNormalizesInvisiblesWithWhitespace,Not Pass,Not Pass,Pass
Jsoup,93,Jsoup-93-buggy_ind1,add_test.java,org.jsoup.nodes.FormElementTest,excludesSubmitAndResetTypes,Not Pass,Not Pass,Pass
Lang,6,Lang-6-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairsInQuotes,Not Pass,Not Pass,Pass
Lang,8,Lang-8-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testCalendarTimezoneRespectedWithDST,Not Pass,Not Pass,Pass
Lang,8,Lang-8-buggy_ind2,add_test1.java,org.apache.commons.lang3.time.FastDatePrinterTest,testCalendarTimezoneRespectedWithoutDST,Not Pass,Not Pass,Pass
Lang,9,Lang-9-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteAtEnd,Not Pass,Not Pass,Pass
Lang,17,Lang-17-buggy_ind1,add_test.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang720_MultipleSupplementaryCharacters,Not Pass,Not Pass,Pass
Lang,17,Lang-17-buggy_ind3,add_test2.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang720_MixedCharacters,Not Pass,Not Pass,Pass
Lang,21,Lang-21-buggy_ind1,add_test.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_HourDifference,Not Pass,Not Pass,Pass
Lang,21,Lang-21-buggy_ind2,add_test1.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_AMvsPM,Not Pass,Not Pass,Pass
Lang,26,Lang-26-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDateFormatTest,testLang645_AdditionalLocale,Not Pass,Not Pass,Pass
Lang,41,Lang-41-buggy_ind2,add_test1.java,org.apache.commons.lang.ClassUtilsTest,test_getPackageName_MultiDimensionalArrays,Not Pass,Not Pass,Pass
Lang,41,Lang-41-buggy_ind3,add_test2.java,org.apache.commons.lang.ClassUtilsTest,test_getShortClassName_InnerClassArray,Not Pass,Not Pass,Pass
Math,14,Math-14-buggy_ind1,add_test.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testNegativeWeight,Not Pass,Not Pass,Pass
Math,15,Math-15-buggy_ind1,add_test.java,org.apache.commons.math3.util.FastMathTest,testMath904NegativeExponent,Not Pass,Not Pass,Pass
Math,15,Math-15-buggy_ind2,add_test1.java,org.apache.commons.math3.util.FastMathTest,testMath904DifferentBase,Not Pass,Not Pass,Pass
Math,34,Math-34-buggy_ind1,add_test.java,org.apache.commons.math3.genetics.ListPopulationTest,testIteratorMultipleIterators,Not Pass,Not Pass,Pass
Math,34,Math-34-buggy_ind2,add_test1.java,org.apache.commons.math3.genetics.ListPopulationTest,testIteratorPartialRemoval,Not Pass,Not Pass,Pass
Math,35,Math-35-buggy_ind3,add_test2.java,org.apache.commons.math3.genetics.ElitisticListPopulationTest,testChromosomeListConstructorJustAboveOne,Not Pass,Not Pass,Pass
Math,35,Math-35-buggy_ind4,add_test3.java,org.apache.commons.math3.genetics.ElitisticListPopulationTest,testConstructorJustBelowZero,Not Pass,Not Pass,Pass
Math,43,Math-43-buggy_ind1,add_test.java,org.apache.commons.math.stat.descriptive.SummaryStatisticsTest,testOverrideMeanWithCustomClass,Not Pass,Not Pass,Pass
Math,43,Math-43-buggy_ind2,add_test1.java,org.apache.commons.math.stat.descriptive.SummaryStatisticsTest,testMultipleOverrides,Not Pass,Not Pass,Pass
Math,47,Math-47-buggy_ind1,add_test.java,org.apache.commons.math.complex.ComplexTest,testDivideByZeroDouble,Not Pass,Not Pass,Pass
Math,47,Math-47-buggy_ind2,add_test1.java,org.apache.commons.math.complex.ComplexTest,testDivideInfByZero,Not Pass,Not Pass,Pass
Math,63,Math-63-buggy_ind1,add_test.java,org.apache.commons.math.util.MathUtilsTest,testEqualsPositiveZeroNegativeZero,Not Pass,Not Pass,Pass
Math,73,Math-73-buggy_ind1,add_test.java,org.apache.commons.math.analysis.solvers.BrentSolverTest,testRootAtMinEndpoint,Not Pass,Not Pass,Pass
Math,73,Math-73-buggy_ind2,add_test1.java,org.apache.commons.math.analysis.solvers.BrentSolverTest,testRootAtMaxEndpoint,Not Pass,Not Pass,Pass
Math,90,Math-90-buggy_ind1,add_test.java,org.apache.commons.math.stat.FrequencyTest,testAddNonComparableEmpty,Not Pass,Not Pass,Pass
Math,90,Math-90-buggy_ind2,add_test1.java,org.apache.commons.math.stat.FrequencyTest,testAddNonComparableAfterString,Not Pass,Not Pass,Pass
Math,92,Math-92-buggy_ind1,add_test.java,org.apache.commons.math.util.MathUtilsTest,testBinomialCoefficientSymmetry,Not Pass,Not Pass,Pass
Math,105,Math-105-buggy_ind2,add_test1.java,org.apache.commons.math.stat.regression.SimpleRegressionTest,testSSEWithSinglePoint,Not Pass,Not Pass,Pass
Math,105,Math-105-buggy_ind3,add_test2.java,org.apache.commons.math.stat.regression.SimpleRegressionTest,testSSEWithConstantX,Not Pass,Not Pass,Pass
Mockito,1,Mockito-1-buggy_ind1,add_test.java,org.mockito.internal.invocation.InvocationMatcherTest,should_capture_arguments_when_matchers_exceed_invocation_args,Not Pass,Not Pass,Pass
Mockito,10,Mockito-10-buggy_ind1,add_test.java,org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest,should_not_raise_serialization_exception_when_chaining_multiple_deep_stubs,Not Pass,Not Pass,Pass
Mockito,11,Mockito-11-buggy_ind4,add_test3.java,org.mockito.internal.creation.DelegatingMethodTest,hashCode_should_use_method_hashcode,Not Pass,Not Pass,Pass
Time,6,Time-6-buggy_ind3,add_test2.java,org.joda.time.chrono.TestGJDate,test_cutoverAtYearZero,Not Pass,Not Pass,Pass
Time,8,Time-8-buggy_ind1,add_test.java,org.joda.time.TestDateTimeZone,testForOffsetHoursMinutes_negativeMinutesWithZeroHours,Not Pass,Not Pass,Pass
Time,8,Time-8-buggy_ind3,add_test2.java,org.joda.time.TestDateTimeZone,testForOffsetHoursMinutes_boundaryNegativeMinutes,Not Pass,Not Pass,Pass
Time,12,Time-12-buggy_ind3,add_test2.java,org.joda.time.TestLocalDate_Constructors,testFactory_fromCalendarFields_beforeYearZero10,Not Pass,Not Pass,Pass
Time,12,Time-12-buggy_ind4,add_test3.java,org.joda.time.TestLocalDateTime_Constructors,testFactory_fromCalendarFields_beforeYearZero10,Not Pass,Not Pass,Pass
