reason,project,idx,sample_dir,buggy_path,tests_path
missing_tests,JacksonDatabind,72,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_72,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_72/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_72/tests_exp3.java
missing_tests,JacksonDatabind,92,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_92,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_92/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/JacksonDatabind/JacksonDatabind_92/tests_exp3.java
missing_tests,Jsoup,17,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_17,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_17/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_17/tests_exp3.java
missing_tests,Jsoup,25,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_25,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_25/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_25/tests_exp3.java
missing_tests,Jsoup,60,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_60,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_60/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_60/tests_exp3.java
missing_tests,Jsoup,85,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_85,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_85/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_85/tests_exp3.java
empty_buggy_after_filter,Jsoup,9,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_9,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_9/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Jsoup/Jsoup_9/tests_exp3.java
missing_tests,Lang,23,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Lang/Lang_23,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Lang/Lang_23/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Lang/Lang_23/tests_exp3.java
missing_tests,Math,104,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Math/Math_104,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Math/Math_104/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Math/Math_104/tests_exp3.java
missing_tests,Math,12,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Math/Math_12,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Math/Math_12/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Math/Math_12/tests_exp3.java
missing_tests,Mockito,26,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Mockito/Mockito_26,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Mockito/Mockito_26/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Mockito/Mockito_26/tests_exp3.java
missing_tests,Time,11,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Time/Time_11,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Time/Time_11/buggy.java,/Users/grace/Documents/Paper/BugFixing/Interpretation/defects4j_input/Time/Time_11/tests_exp3.java
