project,bug_id,class_fqn,method_name
Chart,21,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests,testGetRangeBounds
Chart,22,org.jfree.data.junit.KeyedObjects2DTests,testGetValueByKey
Chart,22,org.jfree.data.junit.KeyedObjects2DTests,testRemoveColumnByIndex
Chart,22,org.jfree.data.junit.KeyedObjects2DTests,testRemoveColumnByKey
Chart,22,org.jfree.data.junit.KeyedObjects2DTests,testRemoveRowByKey
Chart,22,org.jfree.data.junit.KeyedObjects2DTests,testRemoveValue
Chart,22,org.jfree.data.junit.KeyedObjects2DTests,testSetObject
Chart,23,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests,testEquals
Chart,24,org.jfree.chart.renderer.junit.GrayPaintScaleTests,testGetPaint
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests,testDrawWithNullDeviationHorizontal
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests,testDrawWithNullDeviationVertical
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests,testDrawWithNullMeanHorizontal
Chart,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests,testDrawWithNullMeanVertical
Chart,26,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.BarChart3DTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.BarChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.GanttChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.GanttChartTests,testDrawWithNullInfo2
Chart,26,org.jfree.chart.junit.LineChart3DTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.LineChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.StackedAreaChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.StackedBarChart3DTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.StackedBarChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.junit.WaterfallChartTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.plot.junit.CategoryPlotTests,test1654215
Chart,26,org.jfree.chart.plot.junit.CategoryPlotTests,testSerialization3
Chart,26,org.jfree.chart.plot.junit.CategoryPlotTests,testSerialization4
Chart,26,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.LevelRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests,testDrawWithNullInfo
Chart,26,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests,testDrawWithNullInfo
Cli,1,org.apache.commons.cli.bug.BugCLI13Test,testCLI13
Cli,2,org.apache.commons.cli.bug.BugCLI51Test,test
Cli,3,org.apache.commons.cli.PatternOptionBuilderTest,testSimplePattern
Cli,4,org.apache.commons.cli.OptionsTest,testMissingOptionException
Cli,4,org.apache.commons.cli.OptionsTest,testMissingOptionsException
Cli,5,org.apache.commons.cli.UtilTest,testStripLeadingHyphens
Cli,5,org.apache.commons.cli.bug.BugCLI133Test,testOrder
Cli,8,org.apache.commons.cli.HelpFormatterTest,testPrintWrapped
Cli,9,org.apache.commons.cli.OptionsTest,testMissingOptionsException
Cli,9,org.apache.commons.cli.ParseRequiredTest,testMissingRequiredOptions
Cli,10,org.apache.commons.cli.ParseRequiredTest,testReuseOptionsTwice
Cli,11,org.apache.commons.cli.HelpFormatterTest,testPrintOptionWithEmptyArgNameUsage
Cli,12,org.apache.commons.cli.GnuParserTest,testLongWithEqual
Cli,12,org.apache.commons.cli.GnuParserTest,testLongWithEqualSingleDash
Cli,12,org.apache.commons.cli.GnuParserTest,testShortWithEqual
Cli,13,org.apache.commons.cli2.bug.BugLoopingOptionLookAlikeTest,testLoopingOptionLookAlike2
Cli,14,org.apache.commons.cli2.bug.BugCLI144Test,testFileValidator
Cli,15,org.apache.commons.cli2.bug.BugCLI158Test,testSingleOptionMaximumNumberOfArgument
Cli,15,org.apache.commons.cli2.bug.BugCLI158Test,testSingleOptionSingleArgument
Cli,16,org.apache.commons.cli2.CommandLineTestCase,testGetOptions_Order
Cli,16,org.apache.commons.cli2.bug.BugCLI123Test,testMultipleChildOptions
Cli,16,org.apache.commons.cli2.bug.BugCLI123Test,testParentOptionAndChildOption
Cli,16,org.apache.commons.cli2.bug.BugCLI123Test,testSingleChildOption
Cli,17,org.apache.commons.cli.PosixParserTest,testStopBursting
Cli,18,org.apache.commons.cli.PosixParserTest,testStop2
Cli,19,org.apache.commons.cli.PosixParserTest,testUnrecognizedOption2
Cli,20,org.apache.commons.cli.PosixParserTest,testStop3
Cli,21,org.apache.commons.cli2.bug.BugCLI150Test,testNegativeNumber
Cli,22,org.apache.commons.cli.ApplicationTest,testGroovy
Cli,22,org.apache.commons.cli.ParserTestCase,testStopAtExpectedArg
Cli,23,org.apache.commons.cli.bug.BugCLI162Test,testInfiniteLoop
Cli,23,org.apache.commons.cli.bug.BugCLI162Test,testPrintHelpLongLines
Cli,24,org.apache.commons.cli.bug.BugCLI162Test,testLongLineChunkingIndentIgnored
Cli,25,org.apache.commons.cli.bug.BugCLI162Test,testLongLineChunkingIndentIgnored
Cli,26,org.apache.commons.cli.OptionBuilderTest,testBuilderIsResettedAlways
Cli,27,org.apache.commons.cli.ParserTestCase,testOptionGroupLong
Cli,28,org.apache.commons.cli.ValueTest,testPropertyOptionFlags
Cli,29,org.apache.commons.cli.UtilTest,testStripLeadingAndTrailingQuotes
Cli,30,org.apache.commons.cli.OptionGroupTest,testTwoOptionsFromGroupWithProperties
Cli,30,org.apache.commons.cli.ParserTestCase,testPropertyOptionGroup
Cli,30,org.apache.commons.cli.ParserTestCase,testPropertyOptionUnexpected
Cli,31,org.apache.commons.cli.HelpFormatterTest,testDefaultArgName
Cli,32,org.apache.commons.cli.HelpFormatterTest,testFindWrapPos
Cli,32,org.apache.commons.cli.HelpFormatterTest,testRenderWrappedTextWordCut
Cli,33,org.apache.commons.cli.HelpFormatterTest,testIndentedHeaderAndFooter
Cli,34,org.apache.commons.cli.CommandLineTest,testGetParsedOptionValue
Cli,34,org.apache.commons.cli.OptionBuilderTest,testTwoCompleteOptions
Cli,35,org.apache.commons.cli.bug.BugCLI252Test,testExactOptionNameMatch
Cli,37,org.apache.commons.cli.bug.BugCLI265Test,shouldParseShortOptionWithoutValue
Cli,38,org.apache.commons.cli.bug.BugCLI265Test,shouldParseConcatenatedShortOptions
Cli,39,org.apache.commons.cli.PatternOptionBuilderTest,testExistingFilePattern
Cli,39,org.apache.commons.cli.PatternOptionBuilderTest,testExistingFilePatternFileNotExist
Cli,40,org.apache.commons.cli.TypeHandlerTest,testCreateValueInteger_failure
Closure,1,com.google.javascript.jscomp.CommandLineRunnerTest,testDebugFlag1
Closure,1,com.google.javascript.jscomp.CommandLineRunnerTest,testForwardDeclareDroppedTypes
Closure,1,com.google.javascript.jscomp.CommandLineRunnerTest,testSimpleModeLeavesUnusedParams
Closure,1,com.google.javascript.jscomp.IntegrationTest,testIssue787
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest,testIssue168b
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest,testRemoveGlobal1
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest,testRemoveGlobal2
Closure,1,com.google.javascript.jscomp.RemoveUnusedVarsTest,testRemoveGlobal3
Closure,2,com.google.javascript.jscomp.TypeCheckTest,testBadInterfaceExtendsNonExistentInterfaces
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression1
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression1a
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression3
Closure,4,com.google.javascript.jscomp.TypeCheckTest,testConversionFromInterfaceToRecursiveConstructor
Closure,4,com.google.javascript.jscomp.TypeCheckTest,testImplementsExtendsLoop
Closure,4,com.google.javascript.jscomp.TypeCheckTest,testImplementsLoop
Closure,5,com.google.javascript.jscomp.InlineObjectLiteralsTest,testNoInlineDeletedProperties
Closure,6,com.google.javascript.jscomp.LooseTypeCheckTest,testTypeRedefinition
Closure,6,com.google.javascript.jscomp.TypeCheckTest,testIssue635b
Closure,6,com.google.javascript.jscomp.TypeCheckTest,testTypeRedefinition
Closure,7,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest,testGoogIsFunction2
Closure,7,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest,testTypeof3
Closure,8,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testIssue820
Closure,9,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleName
Closure,10,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testIssue821
Closure,11,com.google.javascript.jscomp.TypeCheckTest,testGetprop4
Closure,11,com.google.javascript.jscomp.TypeCheckTest,testIssue810
Closure,12,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testIssue794b
Closure,13,com.google.javascript.jscomp.IntegrationTest,testIssue787
Closure,14,com.google.javascript.jscomp.CheckMissingReturnTest,testIssue779
Closure,14,com.google.javascript.jscomp.ControlFlowAnalysisTest,testDeepNestedBreakwithFinally
Closure,14,com.google.javascript.jscomp.ControlFlowAnalysisTest,testDeepNestedFinally
Closure,15,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testSimpleForIn
Closure,16,com.google.javascript.jscomp.IntegrationTest,testIssue772
Closure,16,com.google.javascript.jscomp.ScopedAliasesTest,testIssue772
Closure,17,com.google.javascript.jscomp.TypeCheckTest,testIssue688
Closure,18,com.google.javascript.jscomp.IntegrationTest,testDependencySorting
Closure,19,com.google.javascript.jscomp.TypeInferenceTest,testNoThisInference
Closure,20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testSimpleFunctionCall
Closure,21,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCode
Closure,22,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCode
Closure,23,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldGetElem
Closure,24,com.google.javascript.jscomp.ScopedAliasesTest,testNonAliasLocal
Closure,25,com.google.javascript.jscomp.TypeInferenceTest,testBackwardsInferenceNew
Closure,26,com.google.javascript.jscomp.CommandLineRunnerTest,testProcessCJS
Closure,26,com.google.javascript.jscomp.CommandLineRunnerTest,testTransformAMDAndProcessCJS
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testDash
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testExports
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testModuleName
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testVarRenaming
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testWithoutExports
Closure,27,com.google.javascript.rhino.IRTest,testIssue727_1
Closure,27,com.google.javascript.rhino.IRTest,testIssue727_2
Closure,27,com.google.javascript.rhino.IRTest,testIssue727_3
Closure,28,com.google.javascript.jscomp.InlineCostEstimatorTest,testCost
Closure,28,com.google.javascript.jscomp.InlineFunctionsTest,testIssue728
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest,testIssue724
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest,testObject10
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest,testObject12
Closure,29,com.google.javascript.jscomp.InlineObjectLiteralsTest,testObject22
Closure,29,com.google.javascript.jscomp.IntegrationTest,testIssue724
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testCanInlineAcrossNoSideEffect
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testInlineAcrossSideEffect1
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testIssue698
Closure,31,com.google.javascript.jscomp.CommandLineRunnerTest,testDependencySortingWhitespaceMode
Closure,32,com.google.javascript.jscomp.IntegrationTest,testIssue701
Closure,32,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testParseLicense
Closure,32,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testParseLicenseAscii
Closure,32,com.google.javascript.jscomp.parsing.JsDocInfoParserTest,testParsePreserve
Closure,33,com.google.javascript.jscomp.TypeCheckTest,testIssue700
Closure,34,com.google.javascript.jscomp.CodePrinterTest,testManyAdds
Closure,35,com.google.javascript.jscomp.TypeCheckTest,testIssue669
Closure,36,com.google.javascript.jscomp.IntegrationTest,testSingletonGetter1
Closure,37,com.google.javascript.jscomp.IntegrationTest,testIncompleteFunction
Closure,38,com.google.javascript.jscomp.CodePrinterTest,testMinusNegativeZero
Closure,39,com.google.javascript.rhino.jstype.RecordTypeTest,testLongToString
Closure,39,com.google.javascript.rhino.jstype.RecordTypeTest,testRecursiveRecord
Closure,40,com.google.javascript.jscomp.IntegrationTest,testIssue284
Closure,40,com.google.javascript.jscomp.NameAnalyzerTest,testIssue284
Closure,41,com.google.javascript.jscomp.LooseTypeCheckTest,testMethodInference6
Closure,41,com.google.javascript.jscomp.TypeCheckTest,testIssue368
Closure,41,com.google.javascript.jscomp.TypeCheckTest,testMethodInference6
Closure,42,com.google.javascript.jscomp.parsing.ParserTest,testForEach
Closure,43,com.google.javascript.jscomp.TypeCheckTest,testLends10
Closure,43,com.google.javascript.jscomp.TypeCheckTest,testLends11
Closure,44,com.google.javascript.jscomp.CodePrinterTest,testIssue620
Closure,45,com.google.javascript.jscomp.RemoveUnusedVarsTest,testIssue618_1
Closure,46,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2
Closure,46,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType3
Closure,46,com.google.javascript.rhino.jstype.RecordTypeTest,testSupAndInf
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testBasicMapping1
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testBasicMapping2
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testBasicMappingGoldenOutput
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testGoldenOutput0a
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testGoldenOutput1
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testGoldenOutput2
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testGoldenOutput3
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testGoldenOutput4
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testGoldenOutput5
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testLiteralMappings
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testLiteralMappingsGoldenOutput
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testMultiFunctionMapping
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testMultilineMapping
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testMultilineMapping2
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testParseSourceMetaMap
Closure,47,com.google.debugging.sourcemap.SourceMapGeneratorV3Test,testSourceMapMerging
Closure,48,com.google.javascript.jscomp.TypeCheckTest,testIssue586
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testBug1897706
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline13
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline14
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline15
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline16
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline17
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline18
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline19
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInline19b
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInlineFunctionWithInnerFunction5
Closure,49,com.google.javascript.jscomp.FunctionInjectorTest,testInlineIntoLoop
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest,testMutate8
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest,testMutateCallInLoopVars1
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest,testMutateFunctionDefinition
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest,testMutateInitializeUninitializedVars1
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest,testMutateInitializeUninitializedVars2
Closure,49,com.google.javascript.jscomp.FunctionToBlockMutatorTest,testMutateWithParameters3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testAnonymous1
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testAnonymous3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexFunctionWithFunctionDefinition2
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexFunctionWithFunctionDefinition2a
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexFunctionWithFunctionDefinition3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexInline7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexInlineNoResultNoParamCall3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexInlineVars7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testComplexSample
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testCostBasedInlining11
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testCostBasedInlining9
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testDecomposeFunctionExpressionInCall
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testFunctionExpressionCallInlining11b
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testFunctionExpressionOmega
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testFunctionExpressionYCombinator
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineBlockMutableArgs1
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineBlockMutableArgs2
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineBlockMutableArgs3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineBlockMutableArgs4
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions10
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions13
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions15b
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions15d
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions16a
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions22
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions23
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineFunctions9
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineNeverMutateConstants
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineNeverOverrideNewValues
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testInlineWithThis7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testIssue423
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testLoopWithFunctionWithFunction
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testMethodWithFunctionWithFunction
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testMixedModeInliningCosting3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified1
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified2
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified4
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified5
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified6
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testNoInlineIfParametersModified7
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testShadowVariables1
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testShadowVariables16
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testShadowVariables18
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testShadowVariables3
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testShadowVariables6
Closure,49,com.google.javascript.jscomp.InlineFunctionsTest,testShadowVariables7
Closure,49,com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest,testMakeLocalNamesUniqueWithContext5
Closure,50,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest,testNoStringJoin
Closure,50,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest,testStringJoinAdd
Closure,51,com.google.javascript.jscomp.CodePrinterTest,testIssue582
Closure,52,com.google.javascript.jscomp.CodePrinterTest,testNumericKeys
Closure,53,com.google.javascript.jscomp.InlineObjectLiteralsTest,testBug545
Closure,54,com.google.javascript.jscomp.TypeCheckTest,testIssue537a
Closure,54,com.google.javascript.jscomp.TypeCheckTest,testIssue537b
Closure,54,com.google.javascript.jscomp.TypedScopeCreatorTest,testPropertyOnUnknownSuperClass2
Closure,55,com.google.javascript.jscomp.FunctionRewriterTest,testIssue538
Closure,56,com.google.javascript.jscomp.JSCompilerSourceExcerptProviderTest,testExceptNoNewLine
Closure,56,com.google.javascript.jscomp.JsMessageExtractorTest,testSyntaxError1
Closure,56,com.google.javascript.jscomp.JsMessageExtractorTest,testSyntaxError2
Closure,57,com.google.javascript.jscomp.ClosureCodingConventionTest,testRequire
Closure,58,com.google.javascript.jscomp.LiveVariableAnalysisTest,testExpressionInForIn
Closure,59,com.google.javascript.jscomp.CommandLineRunnerTest,testCheckGlobalThisOff
Closure,60,com.google.javascript.jscomp.CommandLineRunnerTest,testIssue504
Closure,60,com.google.javascript.jscomp.NodeUtilTest,testGetBooleanValue
Closure,61,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest,testCall1
Closure,61,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest,testCall2
Closure,61,com.google.javascript.jscomp.PeepholeRemoveDeadCodeTest,testRemoveUselessOps
